,image_id,headline,byline,text,label
318,35_77201579-moberly-monitor-index-May-26-1937-p-1.jpg,"Striking Miners
Seek Support of
Loca] Unio.
 ",,"GILLESPIE, Il, May 26, 2—
Stay-in striking miners in the
Superior Coal Company's colliery
at Wilsonville turned today to th
problem of winning the aid of iel-
low-members of Local No. 1 of
the Progressive Miners of Ameri-
ca,

One hundred of the more than
350 miners came up to the sur+

| face as “emissaries” to solicit sup-

port for a test of solidarity of the
local's membership at a meeting
here tonight. The issue will come
to the front when the strikers ask
for an appropriation of $1900
from the local’s treasury for
strike expenses,

The local, largest.in the union,
has & membership of 2200 and it
has been a moot point whether or
not the majority favor the strike,
which the union's nationel offi-
cers have declared was ‘“unau-
thorized."" Strikers, however,
scoffed at reports that any con-
siderable number of the members
opposed their demonstration,

As the strikers neared comple-
tion of the first week under-
sround, there was no indication
of a break in the deadlock,

 

 
 ",Protest
429,58_113999615-emporia-gazette-Dec-03-1927-p-1.jpg,"Farm Relief, Fewer Federal Injanc-
tions and Ladin - Americans,”
Urabe Are Demands,

 
 MAKE THREE DEMANDS
 ",,"hast Socal leat

Washington, Dee. 2 (—Asours
jances were given teday by Senetor:
{Curtis of Kansas, the Republican
{leader, that here would be. votes. at
the coming session on the three
‘ineasures western Independent Re-
publican senators desire acted up-
on.

The snbiects are farm relief DUI:
the. bill dealing with the issuance:
fof injunctions by federal courts, and
ia resolution fer am investigation
‘into American activities In Centrat
;and South Americ:
' “While I cannot speak. for the
; Republican majority,” Senater Cur=
is told the Independents, “I can
-axsure You that personally without
committing myself on the matters
covered by your letter. I feel that
vou are entitled to a final vate dur-
ing the first session of the seven-
lieth congress on these questions.
As leader of the Republican maior-
ity, I will gladly make every effort
(@ secure consideration and final
‘ote. on them. when they are re-
ported from ihe committees 10
which they are referced.”

Senator Curtis told the Indepen-
dents that they should hate no ap-
yrehensions thai, the measures
should be pigeon-hdted in the com-
mittees since the chairmen of. the
committees, which are to handle
Uhem. are senators prominenuy
iddentified with the independent
wing of the party.

The Republican leader pointed
out that Senator, McNary of Oregou
heads the conumittee which is to
consider farm relief; Senator Wer-
ris of Nebraska is chairman of the
committee which will handle thre
bil relating to injunctions, and
Senator Borah of Idaho, is chair-~
man ofthe commiuttce hefore which
the Central and South America
resolution would come.

Immediately upon receiving Serra~
tor Curtis’ nssurances in the: fort
of a letter, the Independents went
into conference. Those attending:
were Senators Frazier and Nye of
North Dakote: LeFollette and Blaine
of Wisconsin. Republicans, and
Sbipstead, Farmer-Lahor,. .Minne-
sota.. soot

 

 

 

 

 

 

  

  
  
 ",Neither
29,1_237919014-las-vegas-sun-Aug-21-1969-p-8.jpg,"OKLAHOMA CITY GARBAGE STRIKE

Police Arrest 50 In Walkout
 ",,"OKLAHOMA CITY (UPI)—leader and several striking!
Police yesterday arrested 50sanitation workers, when they |:
persons, including a Negrotried to prevent volunteer
 ‘garbage truck drivers from
starting on their routes.

The volunteers were manning
garbage trucks idled by the
strike of 200 sanitation em-
ployes Tuesday. The garbage
collectors are asking for more
pay.

When the garbage trucks
started to roll out yesterday,
nine persons tried to block their
path. Police arrested everyone
who moved into the street in
front of the trucls and then
many more were arrested when
they refused to move off the
street.

Among those arrested was
J-mes Brown, a director of the
National Association for the
Advancement of Colored People
Youth Council from New York.

The garbage men are demand-
ing a $100 a month raise from
their current rate of $360 a
month. Each truck in operation
'was accompanied by a police

j escort.

About 225 garbage collectors
were affected by the walkout,
most of them black. ‘You can
drive this city to their knees,”
Said Archibald Hill, a sympathe.
tic Negro state representative.
“If you don’t give up, success is
ours.”

The city formally fired the
strikers Tuesday but a special!
\fact-finding committee recom

mended they be rehired if they
renort by Fridav afternoon.
 ",Protest
438,14_10508166-playground-daily-news-Jul-18-1966-p-1.jpg,"Police Block
Anti-American
Demonstrations
 ",,"| AMSTERDAM (UPI) —More
than 300 anti-American demon-
strators tried to march on the
U.S. Embassy Sunday night,
but they were blocked by police
who earted them away in Army
trucks and dumped them in the
city outskirts.

The demonstrators, members
of a Dutch group calling itself
“Action Viet Nam,’ assembled
in a downtown square and tried
to march on the U.S. Embassy.
They planned to deliver a
child’s coffin as @ symbol of the
innocent children killed in the
Viet Nam war.

When the police blocked the
route, the demonstrators squat-
ied in the street singing “We
Shall Overcome” and shouting
anti-American slogans such as

1“LBI—How many kids did you
|kill today!”
| Police lifted the demonstra-
|tors bodily, placed them in the
|trucks and carted them out of
‘\town, leaving them to walk
y}Jhome after warning them that
they were risking a maximum
-|jail sentence of three months
and 2 300 guilder ($83) fine.
 ",Protest
444,2_77905673-montana-standard-Mar-12-1959-p-1.jpg,"Montana Board
-To Be Channed
 ",,"HELENA (AP) — There will be
a membership change this sum-
mer on the Montana Industria} Ac-
cident Board.

Under a bill signed Wednesday
by Gav. J. Huge Aronson, the ag-
rieulture commissioner will he re-
placed on the three-member board
hy the director of the Bureau of Vo-
cational Rehabilitation,

Only appointive member of Lhe
hoard is the chairman, who Will
continue to receive $7,000 a year.
A conference committee in the
closing days of the legislative ses-
sion, recommended successfully
{hat lhe Hause proposal to raise
ihe chairman lo $9,000 be stricken.

Fifteen other bills were enacted
by the governor Wednesday after-
noon.

One provides that the State ios-
pital, Warm Springs, shall screen

‘applicants for admission ta the
Monlana Home for Senife Aged,
Lewistown. Presently, district
judges can send persons directly
fo that institution,

Others would ban the use of pois:
ongus materials in fire extinguish.
ers, require certain safety equip
ment oan logging Lrueks, increase
teachers rellrement funds to 3%
per cent frony 342 and give cities
power fo enact traffic ordinance:
bot in conflict with stale law.

Also signed was a bill to allov
all professional employes in publi
schools and the university systen
4 use their total salary as the ba
sis for retirement contributions,

Presenily that portion of a teach
ers’ salary above $5,000 cannot bi
used for this purpose.

A Montana Education Associa
tion official said removal of hi
ceiling provides ''a more realisti
future retirement income for Mor

4 tana teachers,""

Other new laws:

Tighten the laws prohibitin:
dumping of garbage on or nea
highways.

And let justices of the peae
Vractice in counties olher tha
(heir own.
 ",Neither
26,16_259294-coshocton-tribune-Sep-02-1934-p-1.jpg,"Speed Fiyer Beats Own Recor
for Cross-Country Hop
by Two Minutes
 TURNER SETS ~
NEW RECORD
 ",,"NEW YORK. Sept. 1.— Streaking
across the continent from Burbank
,Cal. Col. Roscoe Turner noted speed
fier. tod fous plane dear
-d Bennett field in Bro

495/51 p m ‘EST
own recorti che wes
eoniinental cror
‘and 39 seconds.
Taking off from ‘he unvon 4.7
z nal a’ Burba
EST: today.
[Mena ii Ola

   

 

   

   
    

  

   

 

moes and was

of a nen

  

Ort Fa.
recarg
AL 206 p.
g sorm c.04

  

  
  
 
 
  
 

 

Rae EY IMT eS

 

-T ao one
Word arperi and
e record “ra

taam fart

 
 

the ena ol t
 ",Neither
7,1_185653041-odessa-american-May-15-1956-p-10.jpg,"Houston Strike Ends
 ",,"HOUSTON w--The 18-day strikes
of the General Drivers, Ware-
housemen and Helpers against five
beer distributors ended today. Un-
der a new contract, drivers, will
draw $45.15 a week plus 11 cents
nae case commicsion.
 ",Protest
454,2_242754193-harvey-tribune-Feb-11-1958-p-1.jpg,"Sen. Paul Douglas to
Address Shrine Club
 ",,"Sen. Paul Douglas of Illinois
will be the speaker at the month-
ly meeting of the South Suburban
Shrine club at Olympia Fields
country club on Friday.

His talk will concern the eco-
nomic situation in Europe.

Senator Douglas has recently
returned from a six weeks trip
in which he studied the economic
conditions in Europe with refer-
ence to tariff regulations and
their effect on _ international
trade.

Senator Douglas’ trip was made
to prepare for Senate considera-
 tion a presentation relative to the
renewal of the Reciprocal Trade
Agreements act in the next ses-
sion of Congress.

The senator’s speech before the
Shrine club will be his first re-
port on this subject in Illinois
since his return from Europe.

The club feels a presentation
of this problem by one who is so
well informed is of extreme im-
portance, inasmuch as, the eco-
nomic situation of America’s
friends and allies is an integral
part of this nation’s entire pre-
paredness and defense effort.
 ",Neither
108,27_225542197-lincoln-star-Nov-24-1939-p-1.jpg,"SIX HURT IN CLASH
AT DETROIT PLAN]
 ",,"- DETROIT, Nov. 24-— (INS) —
Six men, including two police
officers, were injured today as 57
workers forced their way through
a CIO picket line into Chrysler
Corporation’s Dodge truck plant.

Police arrested 22 on charges
of inciting a riot.

The back to work group, all
negroes, was attacked as _ it
marched toward the plant,
picketed by upwards of 1,000
members of the CIO’s Auto
Workers Union.

Meanwhile, conferences were
resumed to settle the wage issue
blocking settlement of the 49-day
production tie-up,
 ",Riot
37,16_310626531-portsmouth-times-Jan-06-1937-p-1.jpg,"GIRL BURNED BADLY ON
BIRTHDAY ANNIVERSAR)
 ",,"255 5 SeQeteeses sees eS =
Fatal Body Injuries
GREENUP, Jan. 6—Mary Eliza-
beth Barnett, of near Argillite,
daughter of Mrs. Rhoda Barnett,
buffered possibiv fatal body burns
Tuesday, her fourth birthday an-
patenting & when her a,
caught fire from a o replace
in the home of a ndighivee, Bart
Manuels.
Mrs. Barnett, widow of William
Barnett who was killed two years
ago, took the child and _& son,

where they were to pe while
she went to Greenup. with friends.

Mr. Manuels suffered burns on
his hands extinguishing the child's
 ",Neither
157,9_231670659-lovington-daily-leader-Feb-13-1962-p-1.jpg,,"By JOSEPH W. GRIG G
Rimtiead Bence tata obien«t
 ","a | see Fee? eae eae

PARIS (UPD — Masses ol
French workers took a half-day
off today and an estimated 100.000
Parisians turned out to march in
an elaborate funeral procession
for eight persons killed in street
riots last Thurday. Police did not
interfere.

The strike, led by the Commu-
nist-run General Labor Federa-
all over France to a four-hour
halt and cut transportation and
 Residents of downtown Paris—
the “city of light’—found hem-
selves lighing candles because of
shutdowning electricity. Garbage
went uncollected, many offices
and factories did not open until
non and mail service was spotty.
Flights at the twe Paris airports
were cut sharply. —

March to Cemetery

The huge funeral procession
filled the broad Avenue de la Re
publique and stretched its length
to Pere Lachaise cemetery, where
four of the victims were buried.
The others were taken to ceme
 teries outside Paris.
Some of the mourners carrie
wreaths almost nine feet tall. The

march An estimaed 100,000 morse
persons lined the streets to watch.
Officials had feared a_ possible
rpetion of the vivience that
urned last Thursday demonstra-
ion into tragedy, but none devel-
 The 30.000 special and reg
ular police that had been alertes
  

since the first of the year to 763
dead and 1.363 injured. :
 ",Protest
467,5_246866984-winchester-evening-star-Nov-15-1976-p-1.jpg,"Peacekeeping Army
Occupation
Of Beirut
Completed
 ",,"BEIRUT, Lebanon (AP) — Syrian
troops and tanks of the Arab League
peacekeeping army rolled into Beirut
today to complete the occupation of the
Lebanese capital and try to end the 19
months of Christian-Moslem civil war.

Spokesmen for the warring Lebanese
and Palestinian factions said the invasion
was a 99 per cent success by midmorning.
But sporadic firing continued between
radical Palestinians and right-wing
Christian militiamen in the rubble-strewn
heart of the city.

The Syrians controled the city’s radio
and television stations, the central bank
and government offices, and the 300-yard-
wide buffer dividing the city for three
miles.

Heavy machine-gun fire and artillery
and rocket explosions that began during
the night still shook Beirut as the 6,000
Syrian troops and 400 tanks, many
decorated with roses and olive branches,
moved into the city from the north, east
and south at dawn. The fighting later
subsided.

Jubilant residents rushed to balconies
and lined the steets to greet the Syrians
with chants of “‘ahlan wasahlan’’ — Arabic
for welcome. Housewives tossed rice on
the camouflaged tanks and sprayed crews
with rose water as they rumbled into an
area of fashionable cafes. One man
climbed onto a Syrian jeep and kissed two
young soldiers.

It was the first time that Beirut had been
occupied since 1958 when U.S. Marines
landed to put down a Moslem uprising
against Christian President Camille
Chamoun.

The first Syrian casualties since the
occupation began five days ago also were
reported. An infantryman's legs were
blown off by a land mine in Ein Rum-
maneh, a Christian slum area. Another
soldier was killed when an armor-piercing
grenade mounted on his rifle went off
 accidentally, and the blast wounded two
soldiers.

Syrian forces were also moving into
other areas of western Lebanon. There
was no word, however, of Syrian
penetration into Moslem-held Tripoli and
Sidon, 60 miles north and 25 miles south of
Beirut. The Syrians also were staying
away from the southern border, ap-
parently to avoid friction with Israel.

Bulldozers smashed through concrete
and sandbag barricades in the streets
while tank columns created a five-mile
security belt along the city’s crescent-
shaped Mediterranean seafront.

Syrians took control of government
office buildings, the water and electric
plants and the deserted barracks of the
Lebanese army.

The occupation was authorized at Arab
summit meetings last month in Cairo and
Riyadh where leaders called for a pan-
Arab force of 30,000 to end the war.
 ",Neither
118,12_304684282-oil-city-derrick-Sep-14-1964-p-1.jpg,"Meadville
Negroes
Demonstrate
 ",,"MEADVILLE, Pa. (AP) —The
death of a Negro prisoner in
Crawford County Jail which has
been ruled a suicide, resulted
Saturday night in a peaceful
demonstration and a _ police
promise to investigate the inci-
dent.

A group of about 20 young
Negro men picketed in front of
the jail in this Western Penn-
sylvania community, charging
police brutality was involved in
the death of Robert L. Winn, 25,
of Meadville. They disbanded
voluntarily.

Authorities said Winn was
found hanging in a jail on
Thursday night. An autopsy was
performed and Coroner Daniel
Malone called the death suicide.

While the demonstration was
going on two relatives of the
victim, Negro leaders and city
and state police held a confer-
ence at which state police Lt.
Joseph Dussia said a thorough
investigation of the death would
be made, |

Dussia, commanding officer of |
the state police Criminal Divi-|
sion in Erie, said he would con-
duct the investigation and would |
begin questioning persons in |
volved Monday afternoon. |

Please Turm to Page 2, Col. 4
 ",Protest
114,8_93802387-salt-lake-tribune-Mar-16-1963-p-1.jpg,"France’s Trains
Back on Track
 ","Ry Acenoiated Press
 ","PARIS, Saturday, March
16—Normal train service re-
sumed in France Saturday
after a 24-hour nationwide
rai] strike called to protest
the De Gaulle Government's
appointment of a committee
to study the over-all French
strike situation.

The stvike caught many
travelers and commuters
unprepared because it was
announced late Thursday
and went into effect af 4
am, Friday.

It ended as scheduted at
4 am. Saturday.
 ",Protest
175,3_371072587-dillon-daily-tribune-Jul-06-1956-p-2.jpg,"WISE RIVER NEWS

@ Mary Martin
 ",,"Mrs, Fred Patterson of Divide
visited at the Herschel Wells home
“Wednesday.

Mrs. Herschel Wells and fam-
ily, Mrs. Nels Sevalstad and fam-

‘Florence Fitzmaurice,
Miss Alice Ralston, Mildred Ann
and Sally Ralston, Mrs. Millie
Mallon, Joan Green, Mr. and Mrs.
Bill’ Miles’ and ‘granddaughters,
Mrs. Mary Martin and Carol went
to’ Butte Thursday to see: the
Western parade and attended’ the
‘Horse Show and Sale. ~

Mrs. Mary Martin and Carol vis-
ited at the Leslie Jones ‘ranch Sat-
urday evening.

Rev. and Mrs, Ernest Cc. Good-
enberger of Manhattan . visited
Rev. and Mrs. Alton Goodenberger
| qumay. They returned home Mon-

Orvin Stenson of Dillon visited
at the Martin’ and: Stanchfield
homes: Monday evening. Dean and
Frank Stanchfield, Carol Martin
and Mr. Stenson went fishing on
the Big Hole.

Mr. and Mrs. ‘Albert Chan, the
1956 Vacation church school di-
rectors, spent the weekend at the
Goodenberger home.

Sundra Wells spent Wednesday
night at the Martin home.

John Bertoglio of Butte has
spent several weeks visiting at the
Wesley Duhame ranch, He is Mrs.
Duhame’s uncle.

Ralph Potts is the proud owner
— a new 1956 International pick-

vers. Daisy Smith and Mrs,
Verne Stanchfield and sons Dean
and Frank visited at the Martin
home Thursday evening.

Mr. and Mrs. Walter Jones re-
turned home Saturday after a trip
to Washington, Iowa. They attend-
ed a celebration in honor of the
50th wedding anniversary of Mr.
and” Mrs, Ira L. Miksch. Mrs.
Miksch .is. Mr. Jones’ ‘sister.

Mr. and Mrs.” Bill Ferguson,
Dorothy Austin, Bill and “Skinny”
Munson visited at the Fred Gill
home Sunday. Bill and “Skinny”
Munson fished in. a. boat from the
Ralston.ranch to the Mallon ranch.

 
 ",Neither
