article,label
"WEATHER FORECAST
Fair tonight with a low of 18
in the mountains and 25 else-
where. Partly cloudy and warmer
with rain or snow likely Sunday

afternoon,

 

United States weather statistics
for the 24-hour period ending at
7 a.m, today:

Maximum temperature, 40.

Minimum temperature, 22.

Precipitation, traces snow,

River stage, 7.3 feet.

Statistics for the same date a
year ago follow:

Maximum temperature, 41,

Minimum temperature, 34,

Pyecipitation,.02 inches,
 </s>",1
"., WASHINGTON ‘ vP) — Senator
Bricker 4B, Obio) said” today his’
proposal, to curb: ‘the: treaty power.
should ‘be written into the Con-
stitution to block. the designs: of
“advocates ‘of world: government
whic’ seek-to repeal the American
Declaration of: Independerice:” -

Bricker said“such: persons seek
to achieve world government in
various, ways, «including © amend-
ment: of>.the United ‘Nations’
charter,.and he declared: :-

“The end. result’ is: the same—
the United States would cease to
be a sovereign, independent na-
tion: When independence. is de-
stroyed, our liberties are. lost.
That is one of the most important

reasons why we-need a constitu-
‘tional:, amendment. safeguarding
the power to make treaties and
executive :agreements.”

He made these ‘statements in
testimony prepared for the: start
of new hearings before a senate
judiciary. subcommittee on his
proposed amendment. The Eisen-
hower administratiomhas opposed
the -amendment, A revised ver-
sion of it was narrowly defeated
last vyear-in the senate.
 </s>",0
"United Press Staff Correspondent

London, Apr. 27.—The Western
Big Three debated today whether
a Big Four foreign ministers con-
ference or 4 meeting of the chiefs
of state stood ihe best chance of
winning a cold war. settlement
from Russia.

Ameriean, British and French
diplomats met to work out cohcrete
plans for a four-power meeting—
the level of the conference, the
subjects to be discussed and wheth-
er to hold it in early summer or in
the fall.

Their meeting at No. 10 Carlton
House Terrace, with West German
Ambassador Herbert Blankenhorn
sitting in on German problems,
marked the start of a Western
diplomatic summer offensive that
could end with a four-power meet-
ing “at the summit.”

The talks were expected to last
until May 8 when Secretary of

(Continued On Page Sixteen)
 </s>",0
"KANSAS CITY (® — Gray skies,
with occasional rain or drizzle, are
forecast for today and tomorro.
in Missourt,

The weatherman says the rain
or drizzle will spread over t h c
southwest and extreme south sec-
tions of the state this afternoon,
moving northward tonight.

Tonight's low temperatures will
range from 50 in the north to near
60 in the south. High tomorrow will
be near 70 in the north to 75-80
in the south.

Here are some minimum ca
eratures for last night: Butler
‘Columbia 51, Farmington 58, i
lin 61, Kansas City 54, Kirksville
45, Malden 61, Rolla 53, Sedalia 54,

Springfie ‘Id 60, and West Plains 62.
 </s>",1
"vr. Charles 4, Weaver, o4, an
{Indiana physician for 50 years,
| died at 5 a. m. Thursday in his
home at 132 West Central ave-
jnue. In declining health for the
Past six years, he had been ill
for several months. i

The son of Oscar and Nancy
Jackson Weaver, he was born
in Decatur county. on April 15,
1871.

A school teacher in Decatur
:eounty for. a number of -years,
jhe later entered the field of
medicine, graduating from
Louisville Medical School.

Prior to his retirement 10
years ago he-had practiced his
profession for a half century at
Amboy, New Castle and Milroy.
In recent years he had been a
resident of Greensburg.

Dr. Weaver was a member of
the Greensburg Methodist
church, He was affiliated with
Greensburg lodge No. 148,
Knights of Pythias and Decatur
lodge No, 103, 1..0. 0. F. With
a 50-year membership record
in the Pythian lodge he was a
lifetime memoer. He lacked
only a few months of having
been an Odd Fellow for 50
years.

In 1901, he was married to
Flora McConnell. She passed
away in 1903,

. He was married in 1905 to
Hattie A. Ainsworth at Greens-
burg. The couple observed their.
golden wedding anniversary in
September, 1955. '

The survivors are: The widow,
Mrs. Hattie Weaver, of Greens-
burg; a son, Oren Lee Weaver,
of Marton; a daughter, Mrs
John (Adelaide) Ragsdale, of In-
dianapolis: and four grandchil-
dren.

Three brothers and a sister
preceded him in death. They
were: William H. Weaver, Frank
Wedver, Andrew Weaver and
Mrs. Armitta Mobley.

Funeral services will be held
at 10.30 a, m. Saturday in Oliger-
Pearson funeral home. The Rev.
Guy D. Carpenter will officiate.
Burial will be in Union Baptist
cemetery south of Greensburg.

Friends may call at the fu-
neral home after 10 a. m. Fri-
Aaw
 </s>",0
"| The organized prayers of drouth-
stricken Texans and Okiahomans
were answered today with mil-
lion dollar rains, ;

The downpours’ were laced
with winds and storms which were
blamed for at least six deaths m
Texas alone. But they seemed like
an answer from heaven to dust-
plagued farmers.
| Meanwhile a Mav cold wave
threatened the northern -Midwest
‘with frost and moved in on 90-
‘degree temperatures in the South-
east.
| The townspeople of Lampasas,
:‘Tex., and Hobart, Okla., had or-
‘ganized “pravers for rain’ and
Mass demonstrations of faith that
jrains would come in hopes of end-
‘ing weeks of crov-baking drouth.
|Pravyers Answered
Their pravers were answered.

The rains came to Lampasas
‘Tuesday after KCYI. organized its
“prayers for rain” day. All regu-
1 (Continued on Page t&--Col. 7.)
 </s>",0
"Cloudy and windy with snow
flurries and squalls today and
tonight. Falling temperatures
today and much colder to-
night. Low tonight 22-28. Fri-
day partly cloudy and con-
tinued cold.

 

Greenville Record
Teniperature for 24-hour perins
ending at 8 a.m. today: Maximum
61; minimum, 49,
Precipitation for 24-hour perin:
ending at 6 p.m. yesterday:.0%
 </s>",1
" 

PHOENIX, Ariz., 2 -- A house
heated by a refrigerator operating
backwards was described Thurs-
day at the World Symposium on
Applied Solar Energy,

The refrigerator doesn’t do a
complete job, but it utilizes radia.
tion from a cloudy or overcast sky
as well as sunshine to add to the
heat supply of the dwelling.
| This setup may be helpful in re.
ducing the cost of heating in some
less sunshiry areas, said the twe
engineers who conducted a test
lasting several months at New
Haven, W. Va. They are Philip
Sporn, of New York, president of
the American Gas and Electric
Service Crop., and E, R. Ambrose,
head of the firm's air conditioning
division,

A comniercial refrigerating unit
was used. The freezing unit was
put up on the roof where it could
absorb solar energy, which heated
the refrigerating gas inside it,

The compressor part of the unit
pumped the hot circulating yas te
the condenser in the basement
When the compressor squeezes the
gos & gives up its heat and be
 comes a liquid. The heat is taken
away by piping lhe gas through
coils embedded in a lank of water.
There it heats the water which
then is run through the hot water
heating system of the dwelling,

As the liquified refrigerant gets
cooler it goes back to the {freezing
unit on the roof ta turn back into
gas and pick up another load of
heat.

This system worked on cloudy
and even rainy days, the engineers
isaid, despite its unfavorable laca-
\tion for the absorption of solar
energy. The site is on the banks
ofthe Ohio River.

Between January and May of
this year there were only 10 days
when the setup did not work be-
leause of insufficient solar radia-
tion, the engineers reported. The
joutdoor temperatures ranged from
31 to 50 degrees above zero on rep-
resentative days when efficiency
tests were made,

The refrigerator of course had
to have electricily to operate the
compressor. The hookup was made
{so that the regular heating sys
|tem took over when solar radiation
Twas too low to heat the refrigera
Jtor unit on the roof,.
 </s>",0
"AMMAN ”™ — An uneasy peace
settled over the Jordan-held areas
of the Holy Land today and prep-
arations were stepped up for the
annual Christmas influx of _ pil-
grims to the shrines of Christen-
dom.

Jordan's caretaker govern.
ment moved quickly to restore
order after six days of rioting
against moves to bring this Arab
kingdom into the Baghdad Alli-
ance,

A statement from newly nam.
ed Prime Minister Ibrahim Hash.
im was interpreted as assurance
from the government that it would
not join the Western - sponsored
pact linking Iraq, Iran, Turkey,
Pakistan and Britain

Hashim announced his govern-
ment ‘will not deal with any po-
litical questions, nor will it bind
itself to any treaties or obligations.
We appeal to the people collective.
ly and individually to cooperate
with us.’

King Hussein already had an-
nounced that parliamentary elec.
tions to be held within the next
four months would be considered
a plebiscite on the Baghdad Pact
issue

A CURFEW established in Beth.
lehem was lifted and troops called
in to quell violence began to leave
riot-hit cities. Barbed wire which
had been thrown across streets in
key sectors of Amman was re-
moved Lights came on in shop.
ping districts,

The government also announced
the release of all persons arrested
in the riots. Oppesition groups had
demanded they be freed as a con
dition for ending demonstrations
and strikes. Striking civil servants
were urged by their leaders to re
turn to work. Schools reopened
 </s>",0
"LOS ANGELES (#) — “Were
your wives worried about you
making the trip without them?”
an American reporter asked
seven sightseeing Russian jour-
nalists who arrived last night.

“No,” replied Boris N. Kam-
pov-Polevoy, secretary of the gov-
ernment board of the Union of
Soviet Writers. “They said the
most handsome men in the world
live in America, so why worry
about us and the American
girls?”

On the subject of women, one
Soviet newsman observed:

“One difference between our
women is that Russian women
don’t walk in such red, green and
a trousers as your women

Tells Optimism

On a more serious topic Viktor
VY. Poltoratski of Izvestia said:

“We are very optimistic about
peaceful relations between our
two conntries.”

Arriving from San Francisco,
the magazine writers and news-
papermen held a press confer-
ence in their suite at the Ambas-
sador Hotel. Their four-day visit
here will include trips to movie
studios, newspapers, industrial
plants, suburban areas and Dis-
neyland.

“As writers we are looking for-
ward to meeting writers and play-
wrights, actors and actresses —

Continued on Page 2
 </s>",0
"There was a touch of wintry
weather, snow and cold, over the
mideontinent today, and Van Wert
was feeling its effects also.

Balmy temperatures in this area
hit the skids last night following
a heavy rainfall over a 30-hour
period and sent the mercury from
54 degrees recorded at 10:30 pb.
m. yesterday to 38 degrees in less
‘than two and a half hours.

As the cold front from the west
moved in, the temperature gradu-
ally dropped to 33 degrees at 8
a.m. and climbed to only 36 at
1 p. m, today.

Rainfall of 1.65 inches was mea-
sured during the period since Tues-
day evening by Weather Observer
Jack Weaver.,

The clouds were hanging heavy
but apparently the possibility of
snow flurries in this area, forecast
learlier in the day, was passing on
uo the east. The afternoon forecast!
spcke of none. It heralds consider:
able cloudiness and temperatures
in the low 20s tonight and fair anc
cold tomorrow.

_ The first snow of the season fel
in many parts or the ‘Midwest
with three inches reporied in north
 ern Llinois, and from one to two
inches in Chicago.

‘Temperatures edged to near zero
in some northern Midwest areas.
Readings in the ‘teens extended
southward over the Dakotas into
Nebraska. The freezing line cov-
ered sections from the eastern
part of Lake Superior southward
to northwest Indiana and south-
ward to northwest Indiana and
southwest into central Oklahoma,
across the Rockies, over most of
Nevada and northeastward into
central Montana. Brisk northerly
winds whipped many areas.

The wet belt during the night
extended from the central Gulf
Coast up the Mississippi Valley
and over the eastern Great Lakes
region. Snow fell southward to In.
dianapolis and rain mixed with
snow fel! in Michigan. The snow
was reported as far south as
Springfield, 1.

A new storm from the Pacific
spread rain and snow over the
Northwest States. Two to four
inches of snow fell in the mountain
regions of Washington.

Morning temperatures ranged
from 73 in Brownsville, Tex., to §
above in Dickinson, N. D.
 </s>",1
"INDIANAPOLIS (® — The cool

spell that descended on Indiana
‘Sunday likely will continue through
the remainder of the week, the
Weather Bureau’s five-day outlook
indicated Tuesday.
. Daytime temperatures are ex.
pected to average slightly below
the normal highs for 68 in the north
and 75 in the south and the norma’
lows of 43 north to 52 south.

Showers of half an inch to one
inch were forecast for the week
end.

’ Thunderstorms moved across th
state Tuesday but they were
potty. At Evansville’s airport.7
of an inch of rain fell in an hou
but the rain missed the city en
-itirely.

“| Rochester got 1.35 inches of rain

Other northern Indiana cities ha
iWcht chawers.

 
 </s>",1
"| Winter made its official entry in.
te Utah today at 8:12 a.m., but
ryou eouldn’t prove it by the wea-
ther, -

| While winter was officially usher.
jed in by freezing temperatures ir
|the, central,.and_ northeast...United
States. and by heayy ‘raihs“ in‘ the
Pacifie northwest, Utah's’. winter
Season was accompanied by. spring:
like temperatures.

_The only resemblance of winter
in the state was overcast skies and
clouds in many areas. Otherwise
temperatures ranged in the high
40’s. and.50’s.

Temperature readings ranged
from five to 10 degrees above the
‘normal for, this time of the year,

The. forecast for tonight and to-
morrow calls for ‘considerable
cloudiness with occasional light
Tain in the west portion with show
in the northern mountains. Winds
are expected in the western val-
deys, :

Lows: tonight will range from 15
to 25 in the east and 35 to 45 in
the west. The only hope for a white
Christmas is if a storm front that
developed off the West Coast moves
inte.the intermountain region.
 </s>",1
"KANSAS — Fair this afternoon;
tonight and Friday; warmer west
this afterneon and over state to-
night and Friday; low tonight ‘in
the 20s; high Friday 60s east to
around 70 extreme west.

Temperature ;
High yesterday — y.... 60
Low last night 23
High a year ago today 40
Low a year ago today 26

Normal for today, 52
 </s>",1
"INDIANAPOLIS ~~ INS.— Snow
blanketed Indiana is slated for. a
biting dose of old-fashioned. winter
weather tonight. with temperatures
skidding within five -degrees of
zero.

Hazardous driving conditions
prevailed. Three persons were
killed when their automobiles
skidded on icy roads Wednesday
evening, and police and safety offi-
clals are urging that motorists who
must be on the highways take all
winter-driving precautions.

New snow overnight averaged
an inch over the: state, At South
Bend, inthe northern end of Indi-
ana, three inches fell. atop an
earlier snowfall. In southern Hoos-
ierdom, Evansville had two. inches
of new snow, capping the remains
of a previous five-ineh fall.

Indianapolis, with one inch of
snow, recorded a minimum = of 18
early today, which made the cap«
ital city one of the colder spots
in the state,

But more frigid readings are yet
to come. The forecast for tonight
is between five and 15, However,
the snow will be ended in all ex-
cept the northern portion, where
continuing snow is likely today and
tonight,
| The fatal necidents attributed to
jiey highways included one in whicit
a woman motorist was thrown
from her skidding auto, then run
over by her own vehicle. The vic-
jtim was Mrs. Meta A. Siebenmark,
55, of New Buffalo, Mich. who
was fatally injured In the one-car
accident on U. 8. 421, five miles
south of Michigan City.

A Rushville husband and wife
were killed when thelr auto skid-
ded Wednesday evening on Ind. 3
and swirled into the path of 4
jtruck, six miles north of their
‘| hometown.

Killed were Arthur Peggs, 69,
and Mrs. Lora Peggs, 67, The
jcrash occurred during ai snow
| storm,

   
 
 
 
    
   
  
 </s>",1
"     

1 tee aud snow turned Midw
| Wlahwa, 8 Into dealh traps torlay
as a cold wave knifed as far
sith as Texas, drapping tempera:
‘tures five ia 20 degres

AL least 14 traffic deaths tad
been counted in Hlinals, Indiana,
fowa and South Dakota since the
frigidalr mass moved oul of Can-
ada

 

 
    

 

he celd wave brought snaw
whieh reached depths of from one
ta three inches in parts of Mleh-
igan and Nartheru indlana and
which stretched [rent tle Great
Lakes to New Enuland carly to-

 

 

 

Meamwhiln temperatures drop
ped from five to 20 degrees from.
the Dakotas and Mimesota fo
‘orthern Texas. In the West a)
bone-chilling Jow of 20 below zero
was reporled at Fraser, Colo, |

Elsewhere in the West, warm
chinook winds raised the temper-
ature fram two below to 35 degrees
buve gern al Lewistown, Mont.

 

 
 </s>",0
"Poreeast tor Wisconsin: Partly
cloudy tonight and Wednesday with
scattered thundershowers  north-
west tonight and in north and west
Wednesday, Low tonight 55-2 east,
60-465 west. High Wednesday 80-88.
Somewhat warmer tonight. Winds
15-20 m. p. h. southerly this after-
noon and tonight, except 20-25 near
Lake Superior and briefly higher
tonight west during thunderstorms,
becoming 20-25 southerly on Wed-
nesday, exeept briefly higher dur-
ing thunderstorms,

Rhinelander Weather: Monday's
temperature range was from a low
of 50 to a high of 83 degrees; the
5 p. m. reading was 81; the over-
night low was 56, and at 7 a. m.
today it was 66. There was no
precipitation Monday or overnight.

Weather One Year Ago: Tem.
perature range, from a low of 49
to a high of 81 degrees; no pre-
cipitalion,
 </s>",1
"Michigan was blasted today hy a
winter storm whieh disabled a
Great Lake's freighter and en-
dangered others. knocked down
power and telephone lines,
tumbled temperatures and blank.
efed most of the state with snow,

A 300-foot radio tower at Rogers
City was toppled as the storm
swept info Lake Huron and the
steamer Fontana reparted she was
running for the shelter ef Long
Point in the heavy seas of Lake
Erie.

The 420-foo( Joseph S. Morrow,
upbound in Lake Huron with a load
of coal, ‘ost part of its rudder off
Harbor Beach and called for help.
She was raked by 52-mile-an-hour
winds,

Slate police reported eight inches
of snow and drifts of two feet in
Otsegzo county where sehools
closed af) Gaylord, Vanderbilt,
Johannesburg and Elmira.

Officers at the Cadillae post re-
ported four inches of snow in the
area,

Temperatures fell to freezing as
far south as, Battle Creek and
down to 3 at Detroit. Much lower
temperatures were forecast for to-
night, ranging from 1 to 20 in the
lower peninsula and 10-15) in the
jupper peninsula,
 </s>",0
"WASHINGTON, Sept. 23. UP)
Agriculture department econo-
mists predicted today that the
general level of farm prices—a
big political issue—will decline
little if.any more on this year's
crops.

Farm prices now average about
6 per cent below a year ago,
Democratic leaders have sharply
criticized the Eisenhower admin-
istration for the price setbacks,
saying present farm programs
are inadequate,

In a monthly report on the
demand and supply stuation for
farm products, the department's
marketing service said that sea:
sonal price declines may occul
for some commodities, But it
said “much of the general price
adjustment to increased supplies
this season have already taker
place.”

Price drops this year, the farm:
economics report added, large;
reflect market reactions to pros:
pects of a record output of agri
cultural goods,

In a separate report yesterday
\the Federal Reserve - Board’
‘monthly bulletin blamed the de
elines on big crops in recen'
years, overhanging surpluse
cwned by the government and or
the cutback in federal price sup
port rates for this season's grait
harvest.
 </s>",0
"Washington @—The Hoover com-
| nussion, altering its familiar evon-
omy theme Tuesday urged more fed-
eral spending, bigger staffs and het-
ter pay in research programs, bath
military and civilian.

‘The commission in effect scalded
Se“ela.y “” Belfare Hobby and
the BudgetHiteau, an arm of the
White House, f4r not seeking funds
to carry out 723 approvel research
‘projects at the National Institutes
of Health in the coming year.

And the 12-member commission
headed by former President Hoover
offered proposals for mibtary re-
organwation which it said might in-
crease the effectiveness of wea-
pons research by 28 percent in five
years,

Even this, 1t said, “may be too
slow... to maintain our leader-
stip in weaponry.” The commission
report continued:

“Plq¢neering in intercontinental
ballistic missiles, the maturing tech-
‘nology of shorter range missiles, the
needs for greater effectiveness in
continental defense, the opporsuni-
ties for major improvements in all
military electronics... for example,
combine in presenting the Depart-
ment of Defense with an increasing
volume of research and development
opportumities and demands.

“I¢ would be false and dangerous
economy to hold the research and
development appropriations at «
level teo low ta permit a volume of
effort essential to effertive pro-
grams in areas of opportunnty for
new and improved weaponry.""
 </s>",0
"Clear skies are expected over
Abilene and vicinity Thursday and
Friday, the U. S$. Weather Bureau
reported

- A cold front moved through
Abilene about 9 a.m. Wednesday
‘but didn’t have any appreciable ef-
fect on the temperature, which
went on up to 51 during the after-
noon. A high of 50 is predicted for
both Thursday and Friday.
However, the temperature Thurs-
day night is expected to drop be-
low freezing again.

Only Houston and San Antonie
reported any rain Wednesday.
Houston had.08 inch and San An-
tonio.04 inch.
 </s>",1
